category	case	mode	status	seconds	diagnostic
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	fusion-off	PASS	cached	cached
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	fusion-on-phases	PASS	221	  %140 = pto.pointer_cast(%c3008_i64) %c8, %c8 {config = #pto.tile_buf_config<blayout=#pto.blayout<row_major>, slayout=#pto.slayout<none_box>, s_fractal_size=512, pad=#pto.pad_value<zero>, compact=#pto.compact_mode<null>>} : memref<8x8xf32, #pto.address_space<vec>>   %141 = pto.castptr %140 : memref<8x8xf32, #pto.address_space<vec>> -> !pto.ptr<f32, ub>   %142 = arith.addi %123, %c12 : index   %143 = pto.addptr %124, %142 : <f32, gm> -> <f32, gm>   %144 = pto.addptr %141, %c0 : <f32, ub> -> <f32, ub>   %145 = pto.addptr %143, %c0 : <f32, gm> -> <f32, gm>   pto.mte_ub_gm %144, %145, %c16_i64 nburst(%c8_i64, %c32_i64, %c64_i64) l2_cache_ctl(%c0_i64) {operandSegmentSizes = array<i32: 1, 1, 1, 1, 1, 1, 1, 0, 0, 0>} : !pto.ptr<f32, ub>, !pto.ptr<f32, gm>, i64, i64, i64, i64, i64   pto.barrier <
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	fusion-off	PASS	cached	cached
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	fusion-on-phases	PASS	76	    }   }   pto.wait_flag[<PIPE_M>, <PIPE_MTE1>, <EVENT_ID0>]   pto.wait_flag[<PIPE_MTE1>, <PIPE_MTE2>, <EVENT_ID0>]   pto.wait_flag[<PIPE_FIX>, <PIPE_M>, <EVENT_ID0>]   pto.wait_flag[<PIPE_MTE1>, <PIPE_S>, <EVENT_ID0>]   pto.wait_flag[<PIPE_MTE1>, <PIPE_S>, <EVENT_ID1>]   pto.barrier <PIPE_ALL> {pto.auto_sync_tail_barrier}   return }  TileLib daemon stopped (pid=62393)
decode_rmsnorm_rope	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	fusion-off	PASS	cached	cached
decode_rmsnorm_rope	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	fusion-on-phases	PASS	90	  %69 = pto.pointer_cast(%c4096_i64) %c16, %c64 {config = #pto.tile_buf_config<blayout=#pto.blayout<row_major>, slayout=#pto.slayout<none_box>, s_fractal_size=512, pad=#pto.pad_value<null>, compact=#pto.compact_mode<null>>} : memref<16x64xbf16, #pto.address_space<vec>>   %70 = pto.castptr %69 : memref<16x64xbf16, #pto.address_space<vec>> -> !pto.ptr<bf16, ub>   %71 = pto.addptr %48, %c64 : <bf16, gm> -> <bf16, gm>   %72 = pto.addptr %70, %c0 : <bf16, ub> -> <bf16, ub>   %73 = pto.addptr %71, %c0 : <bf16, gm> -> <bf16, gm>   pto.mte_ub_gm %72, %73, %c128_i64 nburst(%c16_i64, %c128_i64, %c256_i64) l2_cache_ctl(%c0_i64) {operandSegmentSizes = array<i32: 1, 1, 1, 1, 1, 1, 1, 0, 0, 0>} : !pto.ptr<bf16, ub>, !pto.ptr<bf16, gm>, i64, i64, i64, i64, i64   pto.wait_flag[<PIPE_V>, <PIPE_MTE2>, <EVEN
decode_rmsnorm	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	fusion-off	PASS	cached	cached
decode_rmsnorm	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	fusion-on-phases	PASS	50	    %56 = pto.addptr %54, %c0 : <bf16, gm> -> <bf16, gm>     pto.mte_ub_gm %55, %56, %c256_i64 nburst(%c8_i64, %c256_i64, %c8192_i64) l2_cache_ctl(%c0_i64) {operandSegmentSizes = array<i32: 1, 1, 1, 1, 1, 1, 1, 0, 0, 0>} : !pto.ptr<bf16, ub>, !pto.ptr<bf16, gm>, i64, i64, i64, i64, i64   }   pto.wait_flag[<PIPE_V>, <PIPE_MTE2>, <EVENT_ID0>]   pto.wait_flag[<PIPE_V>, <PIPE_MTE2>, <EVENT_ID1>]   pto.wait_flag[<PIPE_V>, <PIPE_MTE2>, <EVENT_ID3>]   pto.wait_flag[<PIPE_V>, <PIPE_MTE2>, <EVENT_ID4>]   pto.barrier <PIPE_ALL> {pto.auto_sync_tail_barrier}   return }  TileLib daemon stopped (pid=62806)
prefill_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	fusion-off	PASS	cached	cached
prefill_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	fusion-on-phases	PASS	72	    %13 = pto.castptr %arg8 : memref<?xf32, #pto.address_space<gm>> -> !pto.ptr<f32, gm>     %14 = pto.addptr %13, %12 : <f32, gm> -> <f32, gm>     %15 = pto.addptr %10, %c0 : <f32, ub> -> <f32, ub>     %16 = pto.addptr %14, %c0 : <f32, gm> -> <f32, gm>     pto.mte_ub_gm %15, %16, %c1024_i64 nburst(%c1_i64, %c1024_i64, %c0_i64) l2_cache_ctl(%c0_i64) {operandSegmentSizes = array<i32: 1, 1, 1, 1, 1, 1, 1, 0, 0, 0>} : !pto.ptr<f32, ub>, !pto.ptr<f32, gm>, i64, i64, i64, i64, i64   }   pto.wait_flag[<PIPE_V>, <PIPE_MTE2>, <EVENT_ID5>]   pto.barrier <PIPE_ALL> {pto.auto_sync_tail_barrier}   return }  TileLib daemon stopped (pid=62904)
