status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic
PASS	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	195	d1e8b19ff01b531b091af5fd3d39a991f0430fba19e9095680d5fbbe65bf0c1d	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47034, socket=/tmp/tilelib_daemon_47033.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47034)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback.pto	4	32f9596913a4a506ef7c35543cb2db92d6b5628dfc6c10046494bec86bd0afc5	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47356, socket=/tmp/tilelib_daemon_47353.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47356)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope.pto	10	ab2f356c95fd0972385a685fb9ce936e2e6eef78400e39030f2ada94137b24e3	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47363, socket=/tmp/tilelib_daemon_47362.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47363)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step.pto	22	d1928295b47dddcd6af9a07a4a447978cf1a255add978fd078375fc043d7f1f7	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47381, socket=/tmp/tilelib_daemon_47378.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47381)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan.pto	53	8b1ec12c6cf930d2ed394af2b20fab46ec1ee9341f10b7ac846c2bebd792d333	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47423, socket=/tmp/tilelib_daemon_47420.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47423)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_post.pto	73	d9df9ffe5a2d6875dd7c3224e09c028ec868ebe0bf3c3acedce967246854c9be	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_post.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_post	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47505, socket=/tmp/tilelib_daemon_47502.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47505)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear.pto	22	ea1f46ca8f2fd598f4da66ac50852a994d43d72fa43779cc6cf1b924abb89c8b	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47616, socket=/tmp/tilelib_daemon_47613.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47616)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms.pto	33	24ade7bf9ad7a52759931ff7cf018185020b38f3dc1cf854197831ccc2fa6638	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47657, socket=/tmp/tilelib_daemon_47654.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47657)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed.pto	4	777c4379059f3af5b94bae38a3258a9e1ccb367b28f70533f6f66bb7eef7efbe	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47715, socket=/tmp/tilelib_daemon_47712.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47715)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant.pto	12	0c74f061e18895c3f4bf536f038c3745963a20d27809cf3adbf5eadd9135516c	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47724, socket=/tmp/tilelib_daemon_47723.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47724)
