category	case	mode	status	seconds	diagnostic
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	fusion-off	PASS	215	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=28567, socket=/tmp/tilelib_daemon_28566.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=28567)
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	fusion-on-phases	PASS	237	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=29241, socket=/tmp/tilelib_daemon_29240.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=29241)
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	fusion-off	PASS	99	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=29875, socket=/tmp/tilelib_daemon_29872.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=29875)
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	fusion-on-phases	PASS	93	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=30188, socket=/tmp/tilelib_daemon_30187.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=30188)
decode_rmsnorm_rope	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	fusion-off	FAIL	109	"TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=30807, socket=/tmp/tilelib_daemon_30804.sock) Info: ptodsl TileLib daemon started successfully loc(""-"":21:14): error: 'pto.vbr' op cannot infer resultless pto.vecscope because VPTO vector-scope data cannot have external users; escaping value type is '!pto.vreg<64xf32>' Error: VPTO emission pipeline failed. TileLib daemon stopped (pid=30807)"
decode_rmsnorm_rope	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	fusion-on-phases	PASS	103	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=31155, socket=/tmp/tilelib_daemon_31154.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=31155)
decode_rmsnorm	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	fusion-off	PASS	62	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=31459, socket=/tmp/tilelib_daemon_31454.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=31459)
decode_rmsnorm	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	fusion-on-phases	PASS	57	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=31640, socket=/tmp/tilelib_daemon_31639.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=31640)
prefill_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	fusion-off	PASS	82	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=31791, socket=/tmp/tilelib_daemon_31788.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=31791)
prefill_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	fusion-on-phases	PASS	90	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=31986, socket=/tmp/tilelib_daemon_31983.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=31986)
prefill_rope	_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	fusion-off	PASS	51	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=32155, socket=/tmp/tilelib_daemon_32153.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=32155)
prefill_rope	_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	fusion-on-phases	PASS	47	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=32263, socket=/tmp/tilelib_daemon_32262.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=32263)
prefill_rmsnorm	_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	fusion-off	PASS	63	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=32350, socket=/tmp/tilelib_daemon_32344.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=32350)
prefill_rmsnorm	_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	fusion-on-phases	PASS	67	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=32453, socket=/tmp/tilelib_daemon_32452.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=32453)
prefill_gather	_jit_prefill_attention_csa_test_20260723_031246/ptoas/gather_kv.pto	fusion-off	PASS	14	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=32617, socket=/tmp/tilelib_daemon_32614.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=32617)
prefill_gather	_jit_prefill_attention_csa_test_20260723_031246/ptoas/gather_kv.pto	fusion-on-phases	PASS	14	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=32637, socket=/tmp/tilelib_daemon_32636.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=32637)
