category	case	mode	status	seconds	diagnostic
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	fusion-off	PASS	215	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=59433, socket=/tmp/tilelib_daemon_59430.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=59433)
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	fusion-on-phases	PASS	330	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=59865, socket=/tmp/tilelib_daemon_59864.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=59865)
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	fusion-off	PASS	89	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=60568, socket=/tmp/tilelib_daemon_60561.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=60568)
decode_fa	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	fusion-on-phases	PASS	102	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=60768, socket=/tmp/tilelib_daemon_60767.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=60768)
decode_rmsnorm_rope	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	fusion-off	PASS	111	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=61207, socket=/tmp/tilelib_daemon_61198.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=61207)
decode_rmsnorm_rope	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	fusion-on-phases	PASS	112	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=61547, socket=/tmp/tilelib_daemon_61546.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=61547)
decode_rmsnorm	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	fusion-off	PASS	62	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=61905, socket=/tmp/tilelib_daemon_61902.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=61905)
decode_rmsnorm	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	fusion-on-phases	PASS	65	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=62025, socket=/tmp/tilelib_daemon_62024.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=62025)
prefill_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	fusion-off	PASS	90	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=62190, socket=/tmp/tilelib_daemon_62185.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=62190)
prefill_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	fusion-on-phases	PASS	83	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=62467, socket=/tmp/tilelib_daemon_62465.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=62467)
prefill_rope	_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	fusion-off	PASS	47	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=62810, socket=/tmp/tilelib_daemon_62807.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=62810)
prefill_rope	_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	fusion-on-phases	PASS	52	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=62950, socket=/tmp/tilelib_daemon_62949.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=62950)
prefill_rmsnorm	_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	fusion-off	PASS	68	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=63095, socket=/tmp/tilelib_daemon_63092.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=63095)
prefill_rmsnorm	_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	fusion-on-phases	PASS	61	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=63294, socket=/tmp/tilelib_daemon_63293.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=63294)
prefill_gather	_jit_prefill_attention_csa_test_20260723_031246/ptoas/gather_kv.pto	fusion-off	PASS	12	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=63405, socket=/tmp/tilelib_daemon_63402.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=63405)
prefill_gather	_jit_prefill_attention_csa_test_20260723_031246/ptoas/gather_kv.pto	fusion-on-phases	PASS	12	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=63436, socket=/tmp/tilelib_daemon_63433.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=63436)
