status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic
PASS	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	215	d1e8b19ff01b531b091af5fd3d39a991f0430fba19e9095680d5fbbe65bf0c1d	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback.pto	5	32f9596913a4a506ef7c35543cb2db92d6b5628dfc6c10046494bec86bd0afc5	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope.pto	14	ab2f356c95fd0972385a685fb9ce936e2e6eef78400e39030f2ada94137b24e3	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step.pto	30	d1928295b47dddcd6af9a07a4a447978cf1a255add978fd078375fc043d7f1f7	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan.pto	79	8b1ec12c6cf930d2ed394af2b20fab46ec1ee9341f10b7ac846c2bebd792d333	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_post.pto	110	d9df9ffe5a2d6875dd7c3224e09c028ec868ebe0bf3c3acedce967246854c9be	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_post.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_post	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear.pto	27	ea1f46ca8f2fd598f4da66ac50852a994d43d72fa43779cc6cf1b924abb89c8b	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms.pto	41	24ade7bf9ad7a52759931ff7cf018185020b38f3dc1cf854197831ccc2fa6638	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed.pto	5	777c4379059f3af5b94bae38a3258a9e1ccb367b28f70533f6f66bb7eef7efbe	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant.pto	15	0c74f061e18895c3f4bf536f038c3745963a20d27809cf3adbf5eadd9135516c	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant	0	cached
