tileop	vmi	local_boundary	hard_boundary	unclassified	total
tabs	11	0	0	0	11
tadd	81	86	0	0	167
tadds	20	75	0	0	95
tci	0	0	20	0	20
tcolexpand	0	12	0	0	12
tcolexpandadd	2	0	0	0	2
tcolexpandmul	86	6	0	0	92
tcvt	203	121	0	0	324
tdiv	5	41	0	0	46
texp	15	21	0	0	36
texpands	58	64	0	0	122
textract	0	0	313	0	313
tfillpad	0	0	21	0	21
tfree	0	0	0	12	12
tgather	0	0	54	0	54
tgetval	0	0	0	3	3
tload	0	0	552	0	552
tmatmul	0	0	204	0	204
tmax	16	22	0	0	38
tmaxs	5	0	0	0	5
tmins	6	0	0	0	6
tmov	79	33	59	0	171
tmrgsort	0	0	7	0	7
tmul	114	15	0	0	129
tmuls	102	48	0	0	150
tneg	3	6	0	0	9
tpop	0	0	0	12	12
tpush	0	0	0	12	12
trecip	2	16	0	0	18
treshape	0	0	0	8	8
trowexpanddiv	2	32	0	0	34
trowexpandmul	88	29	0	0	117
trowexpandsub	2	8	0	0	10
trowmax	16	9	0	0	25
trowsum	50	32	0	0	82
trsqrt	0	22	0	0	22
tsetval	0	0	0	6	6
tsort32	0	0	2	0	2
tsqrt	0	4	0	0	4
tstore	0	0	254	0	254
tsub	44	15	0	0	59
tsubs	19	1	0	0	20
ttrans	0	2	0	0	2
