status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic	phase_regions	phase_loops	phase_vloads	phase_vstores	phase_vmi_instances	phase_local_boundaries	phase_hard_boundaries	source_tileop_kinds	source_tileop_instances	assessment
PASS	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	266	d1e8b19ff01b531b091af5fd3d39a991f0430fba19e9095680d5fbbe65bf0c1d	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=32887, socket=/tmp/tilelib_daemon_32884.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=32887)	56	1	0	0	56	52	21	14	129	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback.pto	5	32f9596913a4a506ef7c35543cb2db92d6b5628dfc6c10046494bec86bd0afc5	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=33490, socket=/tmp/tilelib_daemon_33487.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=33490)	0	1	0	0	0	0	2	2	2	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope.pto	11	ab2f356c95fd0972385a685fb9ce936e2e6eef78400e39030f2ada94137b24e3	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=33499, socket=/tmp/tilelib_daemon_33496.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=33499)	0	1	0	0	0	2	4	3	6	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step.pto	23	d1928295b47dddcd6af9a07a4a447978cf1a255add978fd078375fc043d7f1f7	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=33524, socket=/tmp/tilelib_daemon_33521.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=33524)	0	2	0	0	0	6	8	3	14	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan.pto	70	8b1ec12c6cf930d2ed394af2b20fab46ec1ee9341f10b7ac846c2bebd792d333	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=33574, socket=/tmp/tilelib_daemon_33571.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=33574)	18	3	0	0	18	10	6	14	35	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_post.pto	95	d9df9ffe5a2d6875dd7c3224e09c028ec868ebe0bf3c3acedce967246854c9be	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_post.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_post	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=33694, socket=/tmp/tilelib_daemon_33691.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=33694)	27	1	0	0	27	3	18	5	48	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear.pto	27	ea1f46ca8f2fd598f4da66ac50852a994d43d72fa43779cc6cf1b924abb89c8b	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=33874, socket=/tmp/tilelib_daemon_33871.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=33874)	0	1	0	0	0	0	14	4	14	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms.pto	49	24ade7bf9ad7a52759931ff7cf018185020b38f3dc1cf854197831ccc2fa6638	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=33939, socket=/tmp/tilelib_daemon_33933.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=33939)	14	1	0	0	15	1	5	9	21	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed.pto	4	777c4379059f3af5b94bae38a3258a9e1ccb367b28f70533f6f66bb7eef7efbe	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34058, socket=/tmp/tilelib_daemon_34055.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34058)	0	1	0	0	0	1	1	2	2	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant.pto	15	0c74f061e18895c3f4bf536f038c3745963a20d27809cf3adbf5eadd9135516c	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34065, socket=/tmp/tilelib_daemon_34064.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34065)	1	0	0	0	1	2	4	5	7	fusion_candidate_with_local_boundaries
