case	evaluation_mode	priority	performance_status	workload	compile_status	residual_vmi_ops	vmi_instances	local_boundaries	hard_boundaries	fusion_regions	source_tileop_instances	static_assessment	correctness_gate	next_action
_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	performance_and_static	P1	harness_required	decode_online_softmax	PASS	0	56	52	21	4	129	fusion_candidate_with_local_boundaries	model_valid_dynamic_inputs_missing	derive_inputs_from_attention_orchestration
_jit_attention_csa_test_20260723_032646/ptoas/csa_cache_writeback.pto	static_only	S	not_selected	-	PASS	0	0	0	2	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/csa_cmp_rope.pto	static_only	S	not_selected	-	PASS	0	0	2	4	0	6	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/csa_rope_step.pto	static_only	S	not_selected	-	PASS	0	0	6	8	0	14	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/csa_slots_build_valid_qk_plan.pto	static_only	S	not_selected	-	PASS	0	18	10	6	4	35	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/hc_post.pto	static_only	S	not_selected	-	PASS	0	27	3	18	6	48	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_linear.pto	static_only	S	not_selected	-	PASS	0	0	0	14	0	14	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_rms.pto	static_only	S	not_selected	-	PASS	0	15	1	5	2	21	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/hc_pre_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_dequant.pto	static_only	S	not_selected	-	PASS	0	1	2	4	1	7	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	24	0	24	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write.pto	static_only	S	not_selected	-	PASS	0	5	8	4	1	18	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard.pto	static_only	S	not_selected	-	PASS	0	0	0	6	0	6	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope.pto	static_only	S	not_selected	-	PASS	0	32	18	20	11	70	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj.pto	static_only	S	not_selected	-	PASS	0	0	0	44	0	44	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_attention_csa_test_20260723_032646/ptoas/kv_touch.pto	static_only	S	not_selected	-	PASS	0	0	0	2	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
