tileop	instances
tload	552
tcvt	324
textract	313
tstore	254
tmatmul	204
tmov	171
tadd	167
tmuls	150
tmul	129
texpands	122
trowexpandmul	117
tadds	95
tcolexpandmul	92
trowsum	82
tsub	59
tgather	54
tdiv	46
tmax	38
texp	36
trowexpanddiv	34
trowmax	25
trsqrt	22
tfillpad	21
tci	20
tsubs	20
trecip	18
tcolexpand	12
tabs	11
trowexpandsub	10
tpush_to_aiv	9
tneg	9
tpop_from_aic	7
tfree_from_aic	7
tmrgsort	7
tmins	6
tsetval	6
tpop_from_aiv	5
tfree_from_aiv	5
tmaxs	5
tsqrt	4
tgetval	3
tpush_to_aic	3
tcolexpandadd	2
ttrans	2
tsort32	2
