tileop	vmi	local_boundary	hard_boundary	unclassified	total
tabs	0	11	0	0	11
tadd	159	8	0	0	167
tadds	94	1	0	0	95
tci	0	0	20	0	20
tcolexpand	0	12	0	0	12
tcolexpandadd	2	0	0	0	2
tcolexpandmul	92	0	0	0	92
tcvt	64	260	0	0	324
tdiv	46	0	0	0	46
texp	36	0	0	0	36
texpands	0	122	0	0	122
textract	0	0	313	0	313
tfillpad	0	0	21	0	21
tfree	0	0	0	12	12
tgather	0	0	54	0	54
tgetval	0	0	0	3	3
tload	0	0	552	0	552
tmatmul	0	0	204	0	204
tmax	38	0	0	0	38
tmaxs	5	0	0	0	5
tmins	6	0	0	0	6
tmov	108	4	59	0	171
tmrgsort	0	0	7	0	7
tmul	129	0	0	0	129
tmuls	142	8	0	0	150
tneg	0	9	0	0	9
tpop	0	0	0	12	12
tpush	0	0	0	12	12
trecip	18	0	0	0	18
treshape	0	0	0	8	8
trowexpanddiv	0	34	0	0	34
trowexpandmul	0	117	0	0	117
trowexpandsub	10	0	0	0	10
trowmax	16	9	0	0	25
trowsum	50	32	0	0	82
trsqrt	22	0	0	0	22
tsetval	0	0	0	6	6
tsort32	0	0	2	0	2
tsqrt	4	0	0	0	4
tstore	0	0	254	0	254
tsub	59	0	0	0	59
tsubs	0	20	0	0	20
ttrans	0	2	0	0	2
