case	variant	repeat	task_duration_us	output_sha256	profile
decode_comb_sinkhorn	ordinary	1	58.727	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-1
decode_comb_sinkhorn	ordinary	2	59.240	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-2
decode_comb_sinkhorn	ordinary	3	59.353	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-3
decode_comb_sinkhorn	ordinary	4	59.262	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-4
decode_comb_sinkhorn	ordinary	5	59.586	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-5
decode_comb_sinkhorn	vmi_candidate	1	14.321	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-1
decode_comb_sinkhorn	vmi_candidate	2	13.909	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-2
decode_comb_sinkhorn	vmi_candidate	3	14.412	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-3
decode_comb_sinkhorn	vmi_candidate	4	14.966	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-4
decode_comb_sinkhorn	vmi_candidate	5	14.290	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-5
decode_comb_sinkhorn	vmi_loop	1	14.330	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_loop-1
decode_comb_sinkhorn	vmi_loop	2	14.327	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_loop-2
