case	variant	selected_vmi_candidates	vmi_candidates	principal_loops	local_boundaries	hard_boundaries	scf_for	vecscope	vlds	vsts	mem_bar	residual_vmi_ops
decode_comb_sinkhorn	ordinary	0	0	0	98	16	113	8	172	124	233	0
decode_comb_sinkhorn	vmi_candidate	108	0	0	0	16	17	24	156	124	145	0
decode_comb_sinkhorn	vmi_fused	108	0	0	0	16	17	24	156	124	145	0
decode_comb_sinkhorn	vmi_loop	108	0	0	0	16	17	24	156	124	145	0
decode_rmsnorm	ordinary	0	0	0	16	0	32	13	27	22	14	0
decode_rmsnorm	vmi_candidate	12	12	12	0	0	14	13	61	50	25	0
decode_rmsnorm	vmi_fused	12	10	10	0	0	12	12	57	45	23	0
decode_rmsnorm	vmi_loop	12	10	10	0	0	12	13	61	50	27	0
prefill_comb_sinkhorn	ordinary	0	0	0	98	16	113	8	172	124	233	0
prefill_comb_sinkhorn	vmi_candidate	108	0	0	0	16	17	24	156	124	145	0
prefill_comb_sinkhorn	vmi_candidate_only	0	0	0	0	16	17	8	156	124	167	0
prefill_comb_sinkhorn	vmi_fused	108	0	0	0	16	17	24	156	124	145	0
prefill_comb_sinkhorn	vmi_loop	108	0	0	0	16	17	24	156	124	145	0
prefill_comb_sinkhorn	vmi_no_op_fusion	0	0	0	98	16	113	8	172	124	233	0
prefill_rope	ordinary	0	0	0	15	1	19	6	23	18	28	0
prefill_rope	vmi_candidate	15	15	15	0	1	19	7	23	18	27	0
prefill_rope	vmi_fused	15	9	9	0	1	13	7	15	15	15	0
prefill_rope	vmi_loop	15	9	9	0	1	13	7	23	18	21	0
prefill_softmax	ordinary	0	0	0	0	0	38	10	40	35	24	0
prefill_softmax	vmi_candidate	20	20	20	0	0	38	13	40	35	21	0
prefill_softmax	vmi_fused	20	11	11	0	0	29	13	33	32	12	0
prefill_softmax	vmi_loop	20	11	11	0	0	29	13	40	35	18	0
