case	variant	n	median_us	min_us	max_us	stdev_us	hash_count	hashes
decode_comb_sinkhorn	ordinary	5	59.262	58.727	59.586	0.281	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
decode_comb_sinkhorn	vmi_candidate	5	14.321	13.909	14.966	0.340	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
decode_comb_sinkhorn	vmi_loop	5	14.327	13.780	14.465	0.235	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
decode_comb_sinkhorn	vmi_fused	5	14.486	14.172	14.643	0.168	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
decode_rmsnorm	ordinary	5	29.696	29.442	29.918	0.173	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
decode_rmsnorm	vmi_candidate	5	26.777	26.147	27.203	0.354	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
decode_rmsnorm	vmi_loop	5	31.545	31.407	32.429	0.368	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
decode_rmsnorm	vmi_fused	5	25.906	24.993	26.253	0.434	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
prefill_comb_sinkhorn	ordinary	5	59.753	59.327	59.808	0.187	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
prefill_comb_sinkhorn	vmi_candidate	5	14.569	14.032	14.685	0.229	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
prefill_comb_sinkhorn	vmi_loop	5	14.357	14.226	14.608	0.141	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
prefill_comb_sinkhorn	vmi_fused	5	14.105	14.036	14.129	0.038	1	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d
prefill_rope	ordinary	5	81.902	80.787	83.174	0.868	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_rope	vmi_candidate	5	86.792	85.783	87.276	0.530	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_rope	vmi_loop	5	83.694	83.148	84.094	0.310	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_rope	vmi_fused	5	73.819	73.114	74.227	0.430	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_softmax	ordinary	5	99.111	97.567	100.373	1.064	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_candidate	5	99.833	97.798	101.216	1.120	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_loop	5	100.682	99.659	101.456	0.647	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_fused	5	99.074	97.175	99.629	0.904	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
