case	variant	repeat	status	task_time_evidence	log_evidence	output_sha256
prefill_softmax	ordinary	1	pass	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-1/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/ordinary-1.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	ordinary	2	pass	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-2/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/ordinary-2.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	ordinary	3	pass	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-3/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/ordinary-3.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	ordinary	4	pass	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-4/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/ordinary-4.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	ordinary	5	pass	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-5/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/ordinary-5.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_candidate	1	pass	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-1/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/vmi_candidate-1.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_candidate	2	pass	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-2/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/vmi_candidate-2.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_candidate	3	pass	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-3/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/vmi_candidate-3.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_candidate	4	pass	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-4/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/vmi_candidate-4.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_candidate	5	pass	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-5/**/task_time_*.csv	${RESULT_ROOT}/prefill_softmax/logs/vmi_candidate-5.log	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
