case	variant	repeat	task_duration_us	output_sha256	profile
prefill_softmax	ordinary	1	98.346	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-1
prefill_softmax	ordinary	2	99.403	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-2
prefill_softmax	ordinary	3	102.424	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-3
prefill_softmax	ordinary	4	99.813	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-4
prefill_softmax	ordinary	5	99.490	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-5
prefill_softmax	vmi_candidate	1	100.375	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-1
prefill_softmax	vmi_candidate	2	102.317	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-2
prefill_softmax	vmi_candidate	3	100.052	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-3
prefill_softmax	vmi_candidate	4	101.753	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-4
prefill_softmax	vmi_candidate	5	105.251	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-5
prefill_softmax	vmi_loop	1	101.017	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-1
prefill_softmax	vmi_loop	2	103.959	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-2
prefill_softmax	vmi_loop	3	101.698	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-3
prefill_softmax	vmi_loop	4	97.418	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-4
prefill_softmax	vmi_loop	5	102.654	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-5
prefill_softmax	vmi_fused	1	101.705	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_fused-1
