case	variant	vmi_candidates	principal_loops	local_boundaries	hard_boundaries	scf_for	vecscope	vlds	vsts	mem_bar	residual_vmi_ops
decode_comb_sinkhorn	ordinary	0	0	98	16	113	8	172	124	233	0
decode_comb_sinkhorn	vmi_candidate	0	0	98	16	113	8	172	124	233	0
decode_comb_sinkhorn	vmi_fused	0	0	98	16	113	8	172	124	233	0
decode_comb_sinkhorn	vmi_loop	0	0	98	16	113	8	172	124	233	0
decode_rmsnorm	ordinary	0	0	16	0	32	13	27	22	14	0
decode_rmsnorm	vmi_candidate	12	12	0	0	14	14	67	50	24	0
decode_rmsnorm	vmi_fused	10	10	0	0	12	14	63	46	22	0
decode_rmsnorm	vmi_loop	10	10	0	0	12	14	67	50	26	0
decode_rmsnorm_rope	ordinary	0	0	31	1	35	11	53	45	40	0
decode_rmsnorm_rope	vmi_candidate	27	27	2	1	34	15	68	60	49	0
decode_rmsnorm_rope	vmi_fused	14	14	2	1	21	15	54	54	37	0
decode_rmsnorm_rope	vmi_loop	14	14	2	1	21	15	68	60	48	0
prefill_comb_sinkhorn	ordinary	0	0	98	16	113	8	172	124	233	0
prefill_comb_sinkhorn	vmi_candidate	0	0	98	16	113	8	172	124	233	0
prefill_comb_sinkhorn	vmi_fused	0	0	98	16	113	8	172	124	233	0
prefill_comb_sinkhorn	vmi_loop	0	0	98	16	113	8	172	124	233	0
prefill_rope	ordinary	0	0	15	1	19	6	23	18	28	0
prefill_rope	vmi_candidate	15	15	0	1	19	7	23	18	27	0
prefill_rope	vmi_fused	9	9	0	1	13	7	15	15	15	0
prefill_rope	vmi_loop	9	9	0	1	13	7	23	18	21	0
prefill_softmax	ordinary	0	0	0	0	38	10	40	35	24	0
prefill_softmax	vmi_candidate	32	32	0	0	38	11	40	35	23	0
prefill_softmax	vmi_fused	21	21	0	0	27	11	32	32	13	0
prefill_softmax	vmi_loop	21	21	0	0	27	11	40	35	20	0
