case	variant	n	median_us	min_us	max_us	stdev_us	hash_count	hashes
decode_comb_sinkhorn	ordinary	5	59.709	59.205	59.745	0.205	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
decode_comb_sinkhorn	vmi_candidate	5	59.571	59.161	59.930	0.341	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
decode_comb_sinkhorn	vmi_loop	5	59.443	59.121	59.939	0.274	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
decode_comb_sinkhorn	vmi_fused	5	60.013	59.492	60.232	0.253	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
decode_rmsnorm	ordinary	5	30.256	29.468	30.529	0.374	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
decode_rmsnorm	vmi_candidate	5	27.241	26.715	28.152	0.481	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
decode_rmsnorm	vmi_loop	5	31.808	31.618	32.474	0.316	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
decode_rmsnorm	vmi_fused	5	26.369	25.459	26.613	0.424	1	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c
decode_rmsnorm_rope	ordinary	5	11.600	11.256	12.488	0.485	1	5ed034d72e9904cb6579b95548429ca7920f394b9b5b67ba0ba66db52bda7bfb
decode_rmsnorm_rope	vmi_candidate	5	11.312	11.094	11.572	0.153	1	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5
decode_rmsnorm_rope	vmi_loop	5	12.054	11.518	12.623	0.362	1	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5
decode_rmsnorm_rope	vmi_fused	5	10.709	10.206	11.084	0.304	1	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5
prefill_comb_sinkhorn	ordinary	5	59.541	59.263	59.879	0.219	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
prefill_comb_sinkhorn	vmi_candidate	5	59.522	58.826	59.743	0.327	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
prefill_comb_sinkhorn	vmi_loop	5	59.548	59.479	59.979	0.198	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
prefill_comb_sinkhorn	vmi_fused	5	59.801	59.119	60.177	0.358	1	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6
prefill_rope	ordinary	5	87.832	86.774	88.748	0.784	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_rope	vmi_candidate	5	93.322	92.184	94.319	0.801	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_rope	vmi_loop	5	91.003	88.841	91.790	1.219	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_rope	vmi_fused	5	80.665	78.897	81.877	1.016	1	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53
prefill_softmax	ordinary	5	99.490	98.346	102.424	1.357	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_candidate	5	101.753	100.052	105.251	1.852	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_loop	5	101.698	97.418	103.959	2.200	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
prefill_softmax	vmi_fused	5	99.646	95.039	101.705	2.394	1	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7
