case	repeat	status	total_tick	vloop	vld	vst	output_sha256	task_output
softmax_off	1	0	9082	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	2	0	9061	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	3	0	9090	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	4	0	9090	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	5	0	9103	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	6	0	9077	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	7	0	9069	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	8	0	9088	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	9	0	9056	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_off	10	0	9098	66	324	343	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	1	0	9612	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	2	0	9609	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	3	0	9604	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	4	0	9603	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	5	0	9600	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	6	0	9589	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	7	0	9584	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	8	0	9603	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	9	0	9602	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_base	10	0	9637	16	340	374	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_elide	1	0	9587	16	276	312	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
softmax_vmi_elide	2	0	9524	16	276	312	677ddca9be3cae883f7bbb92b1561317c569022ea8477680a2e0ba83de183ac9	=== 任务完成 (exit=0) ===
