case	repeat	tick	vloop	vld	vst	output_sha256
ordinary	1	5798	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	1	5420	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	2	5802	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	2	5417	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	3	5803	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	3	5413	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	4	5821	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	4	5406	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	5	5818	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	5	5423	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	6	5794	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	6	5424	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	7	5771	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	7	5414	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	8	5807	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	8	5424	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	9	5821	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	9	5413	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
ordinary	10	5816	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_fused	10	5431	2	256	240	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	1	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	2	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	3	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	4	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	5	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	6	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	7	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	8	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	9	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
vmi_base	10	5815	5	768	258	78bfa2006a927b1ae24f79aa48f39460a9856092a6d804d2ae9517d70d9886eb
